name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
NETFLIX,netflix,1997,1997-01-01,,,,"5,500",netflix.com,$3.1B,$13.9B,"Los Gatos, California",Public,2002-05-23,Y,NASDAQ,NFLX,Hulu,HBO,YouTube,VUDU,iN DEMAND,STARZ,Showtime,CBS interactive,,,
SeaWorld Parks & Entertainment,seaworld-parks-entertainment,2009,,,,,"4,900",seaworldentertainment.com,$702M,$1.3B,"Orlando, Florida",Public,2013-04-19,Y,NYSE,SEAS,Cedar Fair,Six Flags,Schlitterbahn,Great Wolf Lodge,Neals Lodges,RBC,,,,,
FREMANTLEMEDIA,freemantle-media,1933,,,,,"1,984",fremantlemedia.com,,$2.2B,"London, England",Private,,RTL Group SA,,,Endemol Shine Group,Keshet,ProSiebenSat.1,Zodiak Media,DynEd,dmg media,BBC,Endemol,,,
Cedar Fair,cedar-fair-entertainment-company,1983,,,,,"2,200",cedarfair.com,,$1.3B,"Sandusky, Ohio",Public,1987-05-01,Y,NYSE,FUN,Six Flags,SeaWorld Parks & Entertainment,Schlitterbahn,Great Wolf Lodge,RBC,Neals Lodges,Ride For Hospice,Credit Suisse,,,
Six Flags,six-flags,1961,,,,,"2,000",sixflags.com,,$1.4B,"Grand Prairie, Texas",Public,1996-06-07,Y,NYSE,SIX,Cedar Fair,SeaWorld Parks & Entertainment,Schlitterbahn,Great Wolf Lodge,RBC,Deutsche Bank,Credit Suisse,Barclays,,,
MPR,,,,,,,,mprd.net,,,,Private,,Y,,,Lam Research,Excelitas Technologies,NeoPhotonics,Coriant,Applied Materials,Zeiss,Tokyo Electron,Finisar,,,No detailed data
Jerry Zhou,,,,,,,,jerryjzhou.com,,,,Private,,Y,,,Jerryarmen,UNIVERSAL,MPR,Sony Pictures,SeaWorld Parks & Entertainment,Cedar Fair,University of Maryland,ZEEL,,,No detailed data
WBAL TV,,1949,1949-03,,,,10,wbaltv.com,,$10M,"Baltimore, Maryland",Private,,Y,,,KOAT,COMCAST SPOTLIGHT,WLKYTV,CUMULUS,CBS CORPORATION,WBAL,THE BALTIMORE SUN MEDIA GROUP,Dex Media,,,No information on Crunchbase
WBAL,,1925,,,,,247,wbal.com,,$43.7M,"Baltimore, Maryland",Private,,Y,,,CUMULUS,CBS CORPORATION,WBAL TV,THE BALTIMORE SUN MEDIA GROUP,Dex Media,FOX45 NEWS,WBIN-TV,AdsInABox,,,No information on Crunchbase
THE BALTIMORE SUN MEDIA GROUP,the-baltimore-sun,1837,1837-05-17,,,,62,baltimoresunmediagroup.com,,$45.8M,"Baltimore, Maryland",Private,,Y,,,CUMULUS,CBS CORPORATION,WBAL TV,WBAL,Dex Media,FOX45 NEWS,WBIN-TV,AdsInABox,,,
Dex Media,dex-media,2013,,,,,"4,500",dexmedia.com,$100.8M,$1.6B,"Dallas, Texas",Public,2004-07-22,Y,NASDAQ,DXM,Hibu,ReachLocal,MatchCraft,Web.com,RevLocal,Yext,Yelp,COMCAST SPOTLIGHT,,,
FOX45 NEWS,,1991,,,,,72,foxbaltimore.com,,$4.3M,"Baltimore, Maryland",Private,,Y,,,CUMULUS,CBS CORPORATION,WBAL TV,WBAL,THE BALTIMORE SUN MEDIA GROUP,Dex Media,WBIN-TV,AdsInABox,,,No information on Crunchbase
WBIN-TV,,,,,,,49,wbintv.com,,$4.9M,"Derry, New Hampshire",Private,,Y,,,COMCAST SPOTLIGHT,CBS CORPORATION,CUMULUS,WMUR-TV,WBAL TV,WBAL,THE BALTIMORE SUN MEDIA GROUP,Dex Media,,,No information on Crunchbase
IDG,idg-communications-3,1964,,,,,"14,092",idg.com,,$3.8B,"Boston, Massachusetts",Private,,China Oceanwide Holdings Group,,,Gartner,Kantar,Nielsen Holdings,GfK,Ipsos,IRi,IRI Consulting,ComScore,,,
G & G Fitness Equipment,,,,,,,70,livefit.com,,$14M,"Buffalo, New York",Private,,Y,,,FOX,CNN,CBS CORPORATION,MTV,VH1,CBS,St. Joe,NBCUniversal,,,No information on Crunchbase
MTV,mtv-networks,1984,,,1985-08-27,viacom,10,mtv.com,,$19.1M,"New York, New York",Private,,Viacom Media Networks,,,FOX,Cartoon Network,SoundHound,VH1,Content Dope,CBS CORPORATION,CNN,Chegg,,,
VH1,vh1,1985,,,,,10,vh1.com,,$7.9M,"New York, New York",Product/Brand/Service,,Viacom,,,FOX,MTV,CBS CORPORATION,CNN,Kevin Ozebek,G & G Fitness Equipment,CBS,News Corp,,,
CBS,cbs,1986,1986-01-01,,,,162,cbs.com,,$44.5M,"New York, New York",Product/Brand/Service,,Y,,,FOX,CNN,CBS CORPORATION,FOX31,WXYZ,9NEWS,El Nuevo Diario,7NEWS,,,
The Walt Disney Studios,walt-disney-studios,1950,1950-06,,,,335,waltdisneystudios.com,,$80.9M,"Burbank, California",Private,,The Walt Disney Company,,,DreamWorks,Cartoon Network,WARNER BROS.,GetInterviews,Stargate,IMDb,Paramount Pictures,Nickelodeon,,,
Paramount Pictures,paramount-pictures,1912,1912-05-08,,1993-03,viacom,"1,371",paramount.com,,$1.8B,"Los Angeles, California",Private,,"Viacom, Inc.",,,WARNER BROS.,Sony Pictures,Lions Gate,Rumpus Room Productions,The Walt Disney Company,The Walt Disney Studios,Lucasfilm,CBS CORPORATION,,,
DreamWorks,dreamworks-animation,1994,,,2016-04-28,nbcuniversal,"2,300",dreamworksanimation.com,$812M,$989.9M,"Glendale, California",Public,2004-10-28,"NBCUniversal, Inc.",,,TATA Elxsi,Reliance MediaWorks,PVR,INOX,Cinepolis India,Zaxel,Motionwerx,Belknap,,,
DEEZER,deezer,2006,2006-08-01,,,,327,deezer.com,$531.8M,$400M,"Paris, Île-de-France",Private,,Y,,,TIDAL,8tracks,TUNEIN,ScatterRadio,GUVERA,Spotify,Napster,Pandora,,,
eLocal.com,elocal-usa,2007,,,,,7,elocal.com,$25M,,"Dresher, Pennsylvania",Private,,Y,,,Yodle,Yellowbook,Townsquare,Service Direct,Hibu,Ring Partner,Entercom,iHeartMEDIAINC,,,
Spotify,spotify,2006,2006-07-14,,,,"2,960",spotify.com,$11.3B,$5.6B,"Stockholm, Stockholms län",Public,2018-04-03,Y,NYSE,SPOT,DEEZER,Pandora,SiriusXM,TIDAL,8tracks,Napster,TUNEIN,ScatterRadio,,,
WBT,,,,,,,53,wbt.com,,$3.9M,"Charlotte, North Carolina",Private,,Y,,,iHeartRADIO,Beasley Broadcast Group,Townsquare,Entercom,Pandora,Clashcorp,LIVE365,TUNEIN,,,No information on Crunchbase
Napster,napster,1999,1999-06-01,,2012-01-26,rhapsody,281,napster.com,$15M,$500M,"Seattle, Washington",Private,,Y,,,DEEZER,Pandora,Spotify,TIDAL,8tracks,SiriusXM,TUNEIN,ScatterRadio,,,
TIDAL,,2014,,,,,305,tidal.com,,$20M,"Malmo, Skåne län",Private,,Aspiro AB,,,DEEZER,8tracks,SoundCloud,Spotify,TUNEIN,Napster,ScatterRadio,GUVERA,,,No information on Crunchbase
8tracks,8tracks,2008,2008-08-08,,,,27,8tracks.com,$7.7M,$5.9M,"San Francisco, California",Private,,Y,,,Slacker,TUNEIN,iHeartRADIO,LIVE365,Discogs,Pandora,96.9 WOUR,Today's 101.1 More FM,,,
GUVERA,guvera,2008,,2017-05-15,,,50,guvera.com,$130.4M,$5M,"Gold Coast, Queensland",Private,,Y,,,DEEZER,Spotify,Pandora,SiriusXM,8tracks,TIDAL,Napster,TUNEIN,,,
SEAGATE,seagate,1979,,,,,"43,000",seagate.com,$870M,$10.8B,"Cupertino, California",Public,2002-12-11,Y,NASDAQ,STX,Western Digital,NetApp,TOSHIBA,SAMSUNG,Axcient,Tegile,SONY,Barracuda,,,
TOSHIBA,toshiba,1875,,,,,"187,809",toshiba.co.jp,$6B,$40.7B,"Minato-ku, Tokyo Prefecture",Public,1999-05-14,Y,TYO,6502,HTC,SONY,SAMSUNG,Apple,LG,Mitsubishi Electric,Western Digital,Motorola,,,
TOYOTA,toyota,1937,1937-08-28,,,,"369,124",toyota-global.com,$243.6M,$470.2B,"Toyota City, Aichi Prefecture",Public,1978-01-13,Y,NYSE,TM,HONDA,NISSAN,Ford,Volkswagen AG,General Motors,Hyundai,Tata Motors,BMW Group,,,
Ford,ford,1903,1903-06-16,,,,"202,000",ford.com,$756M,$158.7B,"Dearborn, Michigan",Public,1978-01-13,Y,NYSE,F,HONDA,TOYOTA,NISSAN,Volkswagen AG,General Motors,Hyundai,Volkswagen,Chevrolet,,,
HONDA,honda-automobiles,1948,,,,,"215,638",honda.com,,$138.9B,"Minato-ku, Tokyo Prefecture",Public,2012-05-21,Y,TYO,7267,TOYOTA,NISSAN,Ford,Volkswagen,General Motors,Volkswagen AG,Hyundai,Briggs & Stratton,,,
Volkswagen,volkswagen-group,1937,,,,,"2,900",vw.com,,$586M,"Auburn Hills, Michigan",Private,,Volkswagen Aktiengesellschaft,ETR,VOW,HONDA,NISSAN,TOYOTA,Ford,General Motors,Peugeot,Toyota Motor Sales,Chrysler,,,
NISSAN,nissan-motor,1933,1933-12-26,,,,"152,421",nissan-global.com,,$106.1B,"Yokohama-shi, Kanagawa Prefecture",Public,,Y,TYO,7201,Hyundai,Acura,HONDA,SAIC Motor,Ambal Auto,Wattstor,Volkswagen AG,Peugeot,,,
