name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
Affordable Chair Covers,decor-cetera,2009,2009,,,,49,decor-cetera.com,$ -,$23.4M,"grand rapids,Michigan",Private,,Y,,,Findmicar,Seeber's Hardwood Flooring,Heartside Ministry,Canney's,Geckohead,Aoc Restaurant,Jewish Theatre Grand Rapids,Graphix Outlet,,,
Heartside Ministry,heartsideministry,1983,1983,,,,12,heartside.com,$ -,$ < 1M,"Grand Rapids,Michigan",Private,,Y,,,Michigan Cremation & Funeral Care,Geckohead,Aoc Restaurant,Jewish Theatre Grand Rapids,Graphix Outlet,Easyrotor Helicopter & Aviation Systems,First Financial Resource,Carmody Painting,,,
Geckohead,,,,,,,,,$ -,,,Private,,Y,,,,,,,,,,,,,
Seeber's Hardwood Flooring,,,,,,,,,$ -,,,Private,,Y,,,,,,,,,,,,,
Canney's,,,,,,,,,$ -,,,Private,,Y,,,,,,,,,,,,,
Oesinc,,,,,,,,,$ -,,,Private,,,,,,,,,,,,,,,
Dodgeofftworth,dodgeofftworth,2014,2014/6/1,,,,52,dodgeofftworth.com,$ -,$17.1M,"McKinney,Texas",Private,,Y,,,Chryslerofftworth,Stewart-Rose Properties,Office Boy,Lone Star Riders Motorcycle Group,Dallas Surgical Group,Classicfleet,,,,,
Vandergriff Acura,vandergriffacura,1997,1997,,,,55,vandergriffacura.com,$ -,$20.1M,"Arlington,Texas",Private,,Y,,,Goodson Acura,Mcdavid,Vandergriff Honda,CarGurus,Acura of Peoria,Acuraofthedesert,,,,,
Mcdavid,mcdavidusa,1969,1969,,,,245,mcdavidusa.com,$ -,$37.1M,"Fountain Valley,California",Private,,Y,,,VIVOMED,PhysioRoom,Collinssports,Foryourarms.com Foryourarms,,,,,,,
Vandergriff Honda,vandergriffhonda,1937,1937,,,,51,vandergriffhonda.com,$ -,$12M,"Arlington,Texas",Private,,Y,,,Goodson Acura,Benson Honda,Burleson Nissan,El Paso Honda,John Eagle Honda Of Houston,Honda of Paris,,,,,
David Mcdavid Acura Plano,davidmcdavidacuraplano,1986,1986/3/26,,,,70,davidmcdavidacuraplano.com,$ -,$12.1M,"Plano,Texas",Private,,Y,,,Yuan Insurance & Financial Services,Graceful Soles Dance Studio,General Handeling Systems,,Boardwalk Ferrari,Classy Doggie Cuts,Goodson Acura,PLANO FLORIST AND GIFTS,,,
Auto Uplink,,,,,,,,,$ -,$ < 1M,,Private,,Y,,,,,,,,,,,,,
Greiner Ford Lincoln,greinerford,1970,1970,,,,68,greinerford.com,$ -,$29.9M,"Casper,Wyoming",Private,,Lithia Motors Inc,,,CarGurus,Carvana,CarSoup,Carfax,AutoTrader Group,OffLeaseOnly,Cars,Autolist,,,
Autolist,autolist,2011,2011/1/1,,,,8,autolist.com,$2M,$2M,"San Francisco,California",Private,,Y,,,CarGurus,TrueCar,CarSoup,Edmunds,AutoTrader,Kelley Blue Book,LotPro,iSeeCars,,,
carwow,carwow,2010,2010/11/1,,,,113,carwow.co.uk,$66.4M,$50M,"London,England",Private,,Y,,,Carlypso,Tred,Instamotor,Carkibo,CarGurus,LeaseFetcher,Carfax,TrueCar,,,
Automotive Body Specialty,carbodysupplies,1991,1991,,,,88,carbodysupplies.com,$ -,$24.2M,"Chase City,Virginia",Private,,Y,,,carwow,NAPA,CARQUEST,Parts Authority,Dash,Carlypso,Tred,Instamotor,,,
HANSUN,hanyale,1990,1990,,,,300,hanyale.com,$ -,$ < 1M,"Changhua County,Changhua County",Private,,Y,,,Dorman Products,Aci Auto,AutoZone,Advance Auto Parts,ACDelco,Pep Boys,Continental,1A Auto,,,
myKaarma,mykaarma,2012,2012,,,,49,mykaarma.com,$15M,$3M,"Signal Hill,California",Private,,Y,,,Autosoft,Dealerteam,Auto/Mate,DealerSocket,Xtime,VinSolutions,MDS,Datafirst Sas Solutions Informatiques Pour La Distribution Automobile,,,
ARCA,arca,1998,1998,,,,605,arca.com,$ -,$176.4M,"MebaneNorth, Carolina",Private,,Y,,,Wincor Nixdorf,SCAN COIN,Hyosung,Tidel Engineering,NCR,Flowserve,SPX,Velan,,,
The Car Guide,,,,,,,,,$ -,,,,,,,,,,,,,,,,,,
AutoAlert,autoalert,2002,2002,,,,433,autoalert.com,$ -,$10.5M,"Irvine,California",Private,,"Subsidiary of HGGC, LLC",,,Dominion Dealer Solutions,ELEAD1ONE,Cox Automotive,CDK Global,Dealertrack,Reynolds and Reynolds,TrueCar,DealerSocket,,,
EurotaxGlass's,eurotaxglass,1930,1930/6,,,,800,eurotaxglass.com,$ -,$91.5M,"Freienbach,Other",Private,,Y,,,Jato,Audatex,Wood Mackenzie,Verisk,Dun & Bradstreet,PartsTrader,FactSet,Knovel,,,
CAP,,,,,,,,,$ -,,,,,,,,,,,,,,,,,,
GT Motive,gtmotive,1971,1971,,,,196,gtmotive.com,$10.7M,$137.7M,"London,England",Private,,Subsidiary of EINSA Group,,,AudaExplore,Mitchell,CCC Information Services,Estify,Deutsche Automobil Treuhand,Mechanic Business Pro,Adam Systems,ALLDATA,,,
Web-Est,,,,,,,,,$ -,,,,,,,,,,,,,,,,,,
CCC Information Services,cccis,1980,1980,,,,1400,cccis.com,$ -,$487.5M,"Chicago,Illinois",Private,,Y,,,AudaExplore,Mitchell,Estify,Adam Systems,Mechanic Business Pro,Deutsche Automobil Treuhand,EurotaxGlass's,GT Motive,,,
Mitchell,mitchell1,1918,1918,,,,430,mitchell1.com,$ -,$400M,"Poway,California",Private,,Y,,,ALLDATA,Identifix,Motor Information System,Motologic,Winworks,Progressive Automotive Systs,Snap-on,,,,
Red Books,redbooks,1899,1899,,,,49,redbooks.com,$ -,$29.5M,"New York , New York",Private,,Subsidiary of List Partners LLC,,,MediaRadar,WARC,Kantar Media,Stylus,Cision,WGSN,Mintel,SproutLoud,,,
Jato,jato,1984,1984,,,,600,jato.com,$ -,$31.2M,"London, England",Private,,Y,,,EurotaxGlass's,Wood Mackenzie,Audatex,Verisk,Solera Holdings,FactSet,Dun & Bradstreet,UnityWorks,,,
Datafirst Sas Solutions Informatiques Pour La Distribution Automobile,,,,,,,,,$ -,,,,,,,,,,,,,,,,,,
Kreato CRM,kreatocrm,2010,2010/10/08,,,,49,kreatocrm.com,$ -,$4.4M,"Chennai, Tamil Nadu",Private,,Y,,,PMAM,SugarCRM,Zoho,Insightly,Tenmiles,Crmngle,Pipedrive,Xiaoshouyi,,,
Infor,infor,2002,2002/05/30,,,,15590,infor.com,$ -,$3.7B,"New York , New York",Private,,Y,,,Epicor,Ramco,Aptean,Tagetik Software,NetSuite,Rusada,IFS AB,Mxi Technologies,,,
Epicor,epicor,1972,1972,,,,2621,epicor.com,$ -,$876.8M,"Austin, Texas",Private,,Subsidiary of KKR & Co. L.P.,,,Infor,NetSuite,Aptean,Ramco,Kenandy,Tagetik Software,Brightpearl,IFS AB,,,
Ramco,ramco,1992,1992,,,,1650,ramco.com,$ -,$44.3M,"Chennai, Tamil Nadu",Public,2000-09-29,Y,Bombay Stock Exchange532370,,Rusada,IFS AB,Mxi Technologies,Swiss AviationSoftware,Microsoft Dynamics GP,Ultramain,Adrenalin,Sage,,,
Aptean,aptean,2012,2012/08,,,,5000,aptean.com,$ -,$1B,"Alpharetta, Georgia",Private,,Y,,,Global Shop Solutions,Plex Systems,QAD,IQMS,Consona,ProcessPro,SAP,Dragon Innovation,,,
Tagetik Software,tagetik,1986,1986,,,,384,tagetik.com,$36M,$16.2M,"Lucca, Tuscany",Private,,Subsidiary of Wolters Kluwer N.V.,,,Halogen Software,Reviewsnap,Peoplefluent,SumTotal Systems,BetterWorks,Lumesse,AchieveIt,7Geese,,,
NetSuite,netsuite,1998,1998,,,,4603,netsuite.com,$261.6M,$897.5M,"San Mateo, California",Public,2007-12-20,Subsidiary of Oracle CorporationNYSEN,,,Infor,Epicor,Aptean,Kenandy,Brightpearl,Ramco,Vinculum Solutions,Sage Intacct,,,
Izmocars,izmocars,1905,1905/6/24,,,,10,izmocars.com,$ -,$ < 1M,"San Francisco, California",Private,,"Subsidiary of Homestar, LLC.",,,Contact Advantage,Showroom Logic,PureCars,ELEAD1ONE,CAR-Research XRM,CarSoup,DealerSocket,Cox Automotive,,,
ELEAD1ONE,elead-crm,1905,1905/6/7,,,,241,elead-crm.com,$ -,$63.4M,"Valdosta, Georgia",Private,,"Subsidiary of CDK Global, Inc",,,DealerSocket,Cox Automotive,VinSolutions,Autosoft,Reynolds and Reynolds,Contact Advantage,Auto/Mate,,,,
CAR-Research XRM,carxrm,1905,1905/6/17,,,,11,carxrm.com,$ -,$ < 1M,"Houston, Texas",Private,,"Subsidiary of Loop, LLC.",,,Contact Advantage,Izmocars,Topbuilder Solutions,ELEAD1ONE,DealerSocket,Cox Automotive,Conversica,Auto/Mate,,,
Frontiermotorsinc,frontiermotorsinc,1996,1996,,,,87,frontiermotorsinc.com,$ -,$18.4M,"Pensacola, Florida",Private,,Y,,,Davis Gardens Apartments,Fairfield Manor,Anchorpestcontrol,Time And Time Again Antiques And Restoration,South Gulf Manor,Bay Wood Products,Wards Motorsports,Bill Haven Cars,,,
Wards Motorsports,wards-motorsports,1983,1983/12/31,,,,45,wardsmotorsports.net,$ -,$3.7M,"Pensacola, Florida",Private,,Y,,,Autonetworkpensacola,Marengo Auto Group,Frontiermotorsinc,Bill Haven Cars,C & L Motors,Fiat Of Pensacola,2000 Auto,Auto Union Of Miami,,,
C & L Motors,,,,,,,,,$ -,,,,,,,,,,,,,,,,,,
Michaels Auto Sales,mikeauto,1994,1994,,,,67,mikeauto.net,$ -,$12.5M,"Orlando, Florida",Private,,Y,,,Uvsluxury,Carsandconcepts,Melbourne BMW,Diamond II Auto Sales,Rpt,Rolls-royce Motorcars Las Vegas,Motor Cars Of Stuart,Casienna Apartment Homes,,,
Melbourne BMW,bmwinmelbourne,1998,1998,,,,41,bmwinmelbourne.com,$ -,$4.4M,"Melbourne, Florida",Private,,Y,,,Casienna Apartment Homes,Metro Village Apartments,Campus Crossings On Alafaya,Bohemian Maids,Orlando Water Damage,Sweeter Than The Rest,Bail Bonds Orlando Fl,Shine On Advantage,,,
Coral Springs Pre-owned Superstore,coralspringspreownedsuperstore,1900,,,,,21,coralspringspreownedsuperstore.com,$ -,$5.9M,"Coral, SpringsFlorida",Private,,Y,,,Coral Springs Auto Mall,Coral Springs Honda,Magic Imports of Gainesville,Used Cars Supermarket,Auto Brokers Usa,Upriteautosalesfl,Gateway Autos,Upriteautosales,,,
Mike Erdman Toyota,mikeerdmantoyota,2014,2014,,,,44,mikeerdmantoyota.com,$ -,$4.7M,"Merritt, IslandFlorida",Private,,Y,,,Coral Springs Honda,Jimmie Vickers PreOwned Jeep Store,Springfield Acura,Coral Springs Auto Mall,Billiardmanllc,Coral Springs Pre-owned Superstore,Proctor Acura,Motor Cars Of Stuart,,,
Coral Springs Honda,coralspringshonda,1987,1987,,,,45,coralspringshonda.com,$ -,$3.3M,"Coral, SpringsFlorida",Private,,Y,,,Coral Springs Pre-owned Superstore,Coral Springs Auto Mall,Mike Erdman Toyota,Ikon Motors,Sheehanbuickgmc,Eagleautomall,Fort Lauderdale Nissan,Performance Plus Auto Repair - Coral Springs,,,
Aoc Restaurant,groverestaurant,2004,2004,,,,47,groverestaurant.com,$ -,$4.9M,"Grand Rapids, Michigan",Private,,Y,,,Michigan Cremation & Funeral Care,Heartside Ministry,Jewish Theatre Grand Rapids,Geckohead,Graphix Outlet,Easyrotor Helicopter & Aviation Systems,First Financial Resource,Carmody Painting,,,
Graphix Outlet,,,,,,,,,$ -,,,,,,,,,,,,,,,,,,
Easyrotor Helicopter & Aviation Systems,easyrotor,,,,,,35,easyrotor.com,$ -,$3M,"Grand Rapids, Michigan",Private,,Y,,,Magnum Helicopter,ACES Systems,"Traverse City Helicopters, Llc Dba Tc Flying Adventures",Heliair,Dssmicro,MTI Instruments,Flying Adventure,Biplanefun,,,
First Financial Resource,firstfinancialresource,1990,1990,,,,,firstfinancialresource.biz,$ -,$ < 1M,,Private,,Y,,,TD Bank,Scotiabank,Weaver Pat Long,CIBC,RBC,Wiggin and Dana,Bank of Montreal,HSBC Bank Canada,,,
