"competitor_name_unique","company_name_unique","rank","weight","company_uuid","company_founded_on","company_acquired_on","company_closed_on","competitor_uuid","competitor_founded_on","competitor_acquired_on","competitor_closed_on"
"a-e-television-networks","viacom",8,1,"4522b60d-0b04-827e-2b6c-6eaf236cf636","1971-01-01",NA,NA,"726caeff-2eff-594c-4eb6-dec076a6e9b4","1984-02-01",NA,NA
"a-h-belo-corporation","cox-media",7,1,"36a443c7-df33-47d3-9a0e-0993dbe978a8","1981-01-01",NA,NA,"dced1ea7-0f57-929e-99db-79619056a959","2007-01-01",NA,NA
"a-h-belo-corporation","journal-media-group",4,1,"eba879b1-ec4b-946d-bc75-390da785c97a","2014-01-01","2015-10-07",NA,"dced1ea7-0f57-929e-99db-79619056a959","2007-01-01",NA,NA
"access-intelligence","ims-cloud",1,1,"8728799c-c938-4547-a1d6-c9871cc74a6c","2008-12-01",NA,NA,"f72ec205-fcda-3bdd-b442-77a05e0d7dd2","1977-01-01",NA,NA
"access-intelligence","crain-communications",6,1,"eb129cf4-0066-4790-7ec4-9bd0421f16d7","1916-01-01",NA,NA,"f72ec205-fcda-3bdd-b442-77a05e0d7dd2","1977-01-01",NA,NA
"access-intelligence","american-city-business-journals",4,1,"a5c65812-12f2-6e25-8376-859325f722c6","1985-01-01",NA,NA,"f72ec205-fcda-3bdd-b442-77a05e0d7dd2","1977-01-01",NA,NA
"acdelco","hanyale",5,1,"860b79e1-fd46-43b5-92e3-bf4d6716c793","1990-01-01",NA,NA,"475b8f32-e2b5-7976-9ce0-9b737391ecf3","1916-01-01",NA,NA
"acura","lexus",7,1,"d94626de-07df-e73a-924f-d0b19df1746d","1989-01-01",NA,NA,"215add6f-47c4-4265-adf1-d35deda832a8","1986-03-27",NA,NA
"acura","mazda",5,1,"713bf8e0-0a60-4e2a-b6a9-beda49f11f11","1920-01-30",NA,NA,"215add6f-47c4-4265-adf1-d35deda832a8","1986-03-27",NA,NA
"acura","nissan-motor",2,1,"718eb41b-a309-8cd4-5e01-9958ac876ee5","1933-12-26",NA,NA,"215add6f-47c4-4265-adf1-d35deda832a8","1986-03-27",NA,NA
"acura","audi",8,1,"81a1ceaa-081f-fe4f-fbb4-ca4cbc8293a8","1909-07-16",NA,NA,"215add6f-47c4-4265-adf1-d35deda832a8","1986-03-27",NA,NA
"acura","infiniti",2,1,"30d3682b-df18-8462-c94a-6f9838f6a2e2","1989-11-08",NA,NA,"215add6f-47c4-4265-adf1-d35deda832a8","1986-03-27",NA,NA
"acura","nissan-global",2,1,"09e8ed71-a99a-451f-bafc-4f367b9598a7","1933-12-26",NA,NA,"215add6f-47c4-4265-adf1-d35deda832a8","1986-03-27",NA,NA
"acuraofpeoria","vandergriffacura",5,1,"b67ae99b-9659-407f-9de0-3521c8025b1c","1997-01-01",NA,NA,"ce2a1a00-45ca-420c-8627-83fa8ef7e50f","1986-01-01",NA,NA
"acuraofpeoria","acuraofthedesert",1,1,"449684db-05a5-45d6-ba58-f678d16c1a88","1986-01-01",NA,NA,"ce2a1a00-45ca-420c-8627-83fa8ef7e50f","1986-01-01",NA,NA
